venue,umpire2,winner_runs,date,method,reserve_umpire,winner,city,balls_per_over,outcome,match_number,match_referee,team1,eliminator,date1,gender,team2,winner_wickets,toss_winner,toss_decision,date2,tv_umpire,season,umpire1,event,neutralvenue,player_of_match,matchId
"Arun Jaitley Stadium, Delhi",R Pandit,,2023-04-11,,Abhijit Bhattacharya,Mumbai Indians,Delhi,6,,16.0,V Narayan Kutty,Delhi Capitals,,,male,Mumbai Indians,6.0,Mumbai Indians,field,,KN Ananthapadmanabhan,2023,MA Gough,Indian Premier League,,RG Sharma,1359490
"MA Chidambaram Stadium, Chepauk, Chennai",VK Sharma,3.0,2023-04-12,,A Bengeri,Rajasthan Royals,Chennai,6,,17.0,J Srinath,Rajasthan Royals,,,male,Chennai Super Kings,,Chennai Super Kings,field,,Nitin Menon,2023,Vinod Seshan,Indian Premier League,,R Ashwin,1359491
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",J Madanagopal,,2023-04-13,,PM Joshi,Gujarat Titans,Chandigarh,6,,18.0,R Seth,Punjab Kings,,,male,Gujarat Titans,6.0,Gujarat Titans,field,,BNJ Oxenford,2023,A Totre,Indian Premier League,,MM Sharma,1359492
"Eden Gardens, Kolkata",GR Sadashiv Iyer,23.0,2023-04-14,,M Kuppuraj,Sunrisers Hyderabad,Kolkata,6,,19.0,DS Manohar,Sunrisers Hyderabad,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,NA Patwardhan,2023,CB Gaffaney,Indian Premier League,,HC Brook,1359493
"M Chinnaswamy Stadium, Bengaluru",MV Saidharshan Kumar,23.0,2023-04-15,,Abhijit Bhattacharya,Royal Challengers Bangalore,Bengaluru,6,,20.0,Amit Sharma,Royal Challengers Bangalore,,,male,Delhi Capitals,,Delhi Capitals,field,,MA Gough,2023,KN Ananthapadmanabhan,Indian Premier League,,V Kohli,1359494
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",VK Sharma,,2023-04-15,,A Bengeri,Punjab Kings,Lucknow,6,,21.0,Shakti Singh,Lucknow Super Giants,,,male,Punjab Kings,2.0,Punjab Kings,field,,Tapan Sharma,2023,HAS Khalid,Indian Premier League,,Sikandar Raza,1359495
"Wankhede Stadium, Mumbai",UV Gandhe,,2023-04-16,,PM Joshi,Mumbai Indians,Mumbai,6,,22.0,R Seth,Kolkata Knight Riders,,,male,Mumbai Indians,5.0,Mumbai Indians,field,,J Madanagopal,2023,BNJ Oxenford,Indian Premier League,,VR Iyer,1359496
"Narendra Modi Stadium, Ahmedabad",CB Gaffaney,,2023-04-16,,M Kuppuraj,Rajasthan Royals,Ahmedabad,6,,23.0,Prakash Bhatt,Gujarat Titans,,,male,Rajasthan Royals,3.0,Rajasthan Royals,field,,A Nand Kishore,2023,AK Chaudhary,Indian Premier League,,SO Hetmyer,1359497
"M Chinnaswamy Stadium, Bengaluru",Navdeep Singh,8.0,2023-04-17,,Abhijit Bhattacharya,Chennai Super Kings,Bengaluru,6,,24.0,Amit Sharma,Chennai Super Kings,,,male,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,,MA Gough,2023,KN Ananthapadmanabhan,Indian Premier League,,DP Conway,1359498
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Vinod Seshan,14.0,2023-04-18,,A Bengeri,Mumbai Indians,Hyderabad,6,,25.0,Shakti Singh,Mumbai Indians,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,VK Sharma,2023,Nitin Menon,Indian Premier League,,C Green,1359499
"Sawai Mansingh Stadium, Jaipur",YC Barde,10.0,2023-04-19,,PM Joshi,Lucknow Super Giants,Jaipur,6,,26.0,R Seth,Lucknow Super Giants,,,male,Rajasthan Royals,,Rajasthan Royals,field,,BNJ Oxenford,2023,J Madanagopal,Indian Premier League,,MP Stoinis,1359500
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",GR Sadashiv Iyer,24.0,2023-04-20,,M Kuppuraj,Royal Challengers Bangalore,Chandigarh,6,,27.0,Prakash Bhatt,Royal Challengers Bangalore,,,male,Punjab Kings,,Punjab Kings,field,,CB Gaffaney,2023,AK Chaudhary,Indian Premier League,,Mohammed Siraj,1359501
"Arun Jaitley Stadium, Delhi",R Pandit,,2023-04-20,,Abhijit Bhattacharya,Delhi Capitals,Delhi,6,,28.0,Amit Sharma,Kolkata Knight Riders,,,male,Delhi Capitals,4.0,Delhi Capitals,field,,KN Ananthapadmanabhan,2023,MA Gough,Indian Premier League,,I Sharma,1359502
"MA Chidambaram Stadium, Chepauk, Chennai",VK Sharma,,2023-04-21,,A Bengeri,Chennai Super Kings,Chennai,6,,29.0,Shakti Singh,Sunrisers Hyderabad,,,male,Chennai Super Kings,7.0,Chennai Super Kings,field,,Nitin Menon,2023,HAS Khalid,Indian Premier League,,RA Jadeja,1359503
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",RJ Tucker,7.0,2023-04-22,,PM Joshi,Gujarat Titans,Lucknow,6,,30.0,R Seth,Gujarat Titans,,,male,Lucknow Super Giants,,Gujarat Titans,bat,,J Madanagopal,2023,A Totre,Indian Premier League,,MM Sharma,1359504
"Wankhede Stadium, Mumbai",GR Sadashiv Iyer,13.0,2023-04-22,,M Kuppuraj,Punjab Kings,Mumbai,6,,31.0,Prakash Bhatt,Punjab Kings,,,male,Mumbai Indians,,Mumbai Indians,field,,AK Chaudhary,2023,CB Gaffaney,Indian Premier League,,SM Curran,1359505
"Eden Gardens, Kolkata",Tapan Sharma,49.0,2023-04-23,,A Bengeri,Chennai Super Kings,Kolkata,6,,33.0,Shakti Singh,Chennai Super Kings,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,VK Sharma,2023,Nitin Menon,Indian Premier League,,AM Rahane,1359507
"M Chinnaswamy Stadium, Bengaluru",MV Saidharshan Kumar,7.0,2023-04-23,,Abhijit Bhattacharya,Royal Challengers Bangalore,Bengaluru,6,,32.0,Amit Sharma,Royal Challengers Bangalore,,,male,Rajasthan Royals,,Rajasthan Royals,field,,Navdeep Singh,2023,MA Gough,Indian Premier League,,GJ Maxwell,1359506
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",RJ Tucker,7.0,2023-04-24,,PM Joshi,Delhi Capitals,Hyderabad,6,,34.0,R Seth,Delhi Capitals,,,male,Sunrisers Hyderabad,,Delhi Capitals,bat,,UV Gandhe,2023,J Madanagopal,Indian Premier League,,AR Patel,1359508
"Narendra Modi Stadium, Ahmedabad",A Nand Kishore,55.0,2023-04-25,,M Krishnadas,Gujarat Titans,Ahmedabad,6,,35.0,SA Satbhai,Gujarat Titans,,,male,Mumbai Indians,,Mumbai Indians,field,,CB Gaffaney,2023,AK Chaudhary,Indian Premier League,,A Manohar,1359509
"M Chinnaswamy Stadium, Bengaluru",R Pandit,21.0,2023-04-26,,Abhijit Bhattacharya,Kolkata Knight Riders,Bengaluru,6,,36.0,Amit Sharma,Kolkata Knight Riders,,,male,Royal Challengers Bangalore,,Royal Challengers Bangalore,field,,MA Gough,2023,KN Ananthapadmanabhan,Indian Premier League,,CV Varun,1359510
"Sawai Mansingh Stadium, Jaipur",YC Barde,32.0,2023-04-27,,Mohamad Rafi,Rajasthan Royals,Jaipur,6,,37.0,M Nayyar,Rajasthan Royals,,,male,Chennai Super Kings,,Rajasthan Royals,bat,,RJ Tucker,2023,A Totre,Indian Premier League,,YBK Jaiswal,1359511
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Vinod Seshan,56.0,2023-04-28,,VM Dhokre,Lucknow Super Giants,Chandigarh,6,,38.0,Shakti Singh,Lucknow Super Giants,,,male,Punjab Kings,,Punjab Kings,field,,HAS Khalid,2023,Nitin Menon,Indian Premier League,,MP Stoinis,1359512
"Eden Gardens, Kolkata",GR Sadashiv Iyer,,2023-04-29,,M Krishnadas,Gujarat Titans,Kolkata,6,,39.0,SA Satbhai,Kolkata Knight Riders,,,male,Gujarat Titans,7.0,Gujarat Titans,field,,CB Gaffaney,2023,NA Patwardhan,Indian Premier League,,J Little,1359513
"Arun Jaitley Stadium, Delhi",Navdeep Singh,9.0,2023-04-29,,P Joshi,Sunrisers Hyderabad,Delhi,6,,40.0,V Narayan Kutty,Sunrisers Hyderabad,,,male,Delhi Capitals,,Sunrisers Hyderabad,bat,,MV Saidharshan Kumar,2023,MA Gough,Indian Premier League,,MR Marsh,1359514
"MA Chidambaram Stadium, Chepauk, Chennai",UV Gandhe,,2023-04-30,,Mohamad Rafi,Punjab Kings,Chennai,6,,41.0,M Nayyar,Chennai Super Kings,,,male,Punjab Kings,4.0,Chennai Super Kings,bat,,YC Barde,2023,RJ Tucker,Indian Premier League,,DP Conway,1359515
"Wankhede Stadium, Mumbai",VK Sharma,,2023-04-30,,VM Dhokre,Mumbai Indians,Mumbai,6,,42.0,J Srinath,Rajasthan Royals,,,male,Mumbai Indians,6.0,Rajasthan Royals,bat,,Tapan Sharma,2023,Vinod Seshan,Indian Premier League,,YBK Jaiswal,1359516
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",GR Sadashiv Iyer,18.0,2023-05-01,,M Krishnadas,Royal Challengers Bangalore,Lucknow,6,,43.0,Prakash Bhatt,Royal Challengers Bangalore,,,male,Lucknow Super Giants,,Royal Challengers Bangalore,bat,,A Nand Kishore,2023,AK Chaudhary,Indian Premier League,,F du Plessis,1359517
"Narendra Modi Stadium, Ahmedabad",R Pandit,5.0,2023-05-02,,P Joshi,Delhi Capitals,Ahmedabad,6,,44.0,V Narayan Kutty,Delhi Capitals,,,male,Gujarat Titans,,Delhi Capitals,bat,,KN Ananthapadmanabhan,2023,MA Gough,Indian Premier League,,Mohammed Shami,1359518
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",RJ Tucker,,2023-05-03,,Mohamad Rafi,Mumbai Indians,Chandigarh,6,,46.0,SS Raul,Punjab Kings,,,male,Mumbai Indians,6.0,Mumbai Indians,field,,A Totre,2023,J Madanagopal,Indian Premier League,,Ishan Kishan,1359520
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",NA Patwardhan,,2023-05-03,,M Krishnadas,,Lucknow,6,no result,45.0,Prakash Bhatt,Lucknow Super Giants,,,male,Chennai Super Kings,,Chennai Super Kings,field,,CB Gaffaney,2023,AK Chaudhary,Indian Premier League,,,1359519
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",MA Gough,5.0,2023-05-04,,P Joshi,Kolkata Knight Riders,Hyderabad,6,,47.0,V Narayan Kutty,Kolkata Knight Riders,,,male,Sunrisers Hyderabad,,Kolkata Knight Riders,bat,,MV Saidharshan Kumar,2023,KN Ananthapadmanabhan,Indian Premier League,,CV Varun,1359521
"Sawai Mansingh Stadium, Jaipur",VK Sharma,,2023-05-05,,VM Dhokre,Gujarat Titans,Jaipur,6,,48.0,J Srinath,Rajasthan Royals,,,male,Gujarat Titans,9.0,Rajasthan Royals,bat,,Nitin Menon,2023,HAS Khalid,Indian Premier League,,Rashid Khan,1359522
"MA Chidambaram Stadium, Chepauk, Chennai",Navdeep Singh,,2023-05-06,,P Joshi,Chennai Super Kings,Chennai,6,,49.0,V Narayan Kutty,Mumbai Indians,,,male,Chennai Super Kings,6.0,Chennai Super Kings,field,,KN Ananthapadmanabhan,2023,BNJ Oxenford,Indian Premier League,,M Pathirana,1359523
"Arun Jaitley Stadium, Delhi",YC Barde,,2023-05-06,,Mohamad Rafi,Delhi Capitals,Delhi,6,,50.0,M Nayyar,Royal Challengers Bangalore,,,male,Delhi Capitals,7.0,Royal Challengers Bangalore,bat,,J Madanagopal,2023,RJ Tucker,Indian Premier League,,PD Salt,1359524
"Narendra Modi Stadium, Ahmedabad",A Nand Kishore,56.0,2023-05-07,,M Krishnadas,Gujarat Titans,Ahmedabad,6,,51.0,Prakash Bhatt,Gujarat Titans,,,male,Lucknow Super Giants,,Lucknow Super Giants,field,,CB Gaffaney,2023,AK Chaudhary,Indian Premier League,,Shubman Gill,1359525
"Sawai Mansingh Stadium, Jaipur",Vinod Seshan,,2023-05-07,,VM Dhokre,Sunrisers Hyderabad,Jaipur,6,,52.0,J Srinath,Rajasthan Royals,,,male,Sunrisers Hyderabad,4.0,Rajasthan Royals,bat,,VK Sharma,2023,Nitin Menon,Indian Premier League,,GD Phillips,1359526
"Eden Gardens, Kolkata",J Madanagopal,,2023-05-08,,Mohamad Rafi,Kolkata Knight Riders,Kolkata,6,,53.0,SS Raul,Punjab Kings,,,male,Kolkata Knight Riders,5.0,Punjab Kings,bat,,UV Gandhe,2023,A Totre,Indian Premier League,,AD Russell,1359527
"Wankhede Stadium, Mumbai",VK Sharma,,2023-05-09,,VM Dhokre,Mumbai Indians,Mumbai,6,,54.0,RS Sodhi,Royal Challengers Bangalore,,,male,Mumbai Indians,6.0,Mumbai Indians,field,,Nitin Menon,2023,HAS Khalid,Indian Premier League,,SA Yadav,1359528
"MA Chidambaram Stadium, Chepauk, Chennai",NA Patwardhan,27.0,2023-05-10,,M Krishnadas,Chennai Super Kings,Chennai,6,,55.0,Sanjay Verma,Chennai Super Kings,,,male,Delhi Capitals,,Chennai Super Kings,bat,,AK Chaudhary,2023,CB Gaffaney,Indian Premier League,,RA Jadeja,1359529
"Eden Gardens, Kolkata",MV Saidharshan Kumar,,2023-05-11,,P Joshi,Rajasthan Royals,Kolkata,6,,56.0,P Dharmani,Kolkata Knight Riders,,,male,Rajasthan Royals,9.0,Rajasthan Royals,field,,R Pandit,2023,RJ Tucker,Indian Premier League,,YBK Jaiswal,1359530
"Wankhede Stadium, Mumbai",Tapan Sharma,27.0,2023-05-12,,VM Dhokre,Mumbai Indians,Mumbai,6,,57.0,RS Sodhi,Mumbai Indians,,,male,Gujarat Titans,,Gujarat Titans,field,,Vinod Seshan,2023,Nitin Menon,Indian Premier League,,SA Yadav,1359531
"Arun Jaitley Stadium, Delhi",NA Patwardhan,31.0,2023-05-13,,M Krishnadas,Punjab Kings,Delhi,6,,59.0,Sanjay Verma,Punjab Kings,,,male,Delhi Capitals,,Delhi Capitals,field,,GR Sadashiv Iyer,2023,CB Gaffaney,Indian Premier League,,P Simran Singh,1359533
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",J Madanagopal,,2023-05-13,,Mohamad Rafi,Lucknow Super Giants,Hyderabad,6,,58.0,P Dharmani,Sunrisers Hyderabad,,,male,Lucknow Super Giants,7.0,Sunrisers Hyderabad,bat,,YC Barde,2023,A Totre,Indian Premier League,,PN Mankad,1359532
"Sawai Mansingh Stadium, Jaipur",Navdeep Singh,112.0,2023-05-14,,P Joshi,Royal Challengers Bangalore,Jaipur,6,,60.0,V Narayan Kutty,Royal Challengers Bangalore,,,male,Rajasthan Royals,,Royal Challengers Bangalore,bat,,RJ Tucker,2023,KN Ananthapadmanabhan,Indian Premier League,,WD Parnell,1359534
"MA Chidambaram Stadium, Chepauk, Chennai",Vinod Seshan,,2023-05-14,,VM Dhokre,Kolkata Knight Riders,Chennai,6,,61.0,J Srinath,Chennai Super Kings,,,male,Kolkata Knight Riders,6.0,Chennai Super Kings,bat,,Nitin Menon,2023,Tapan Sharma,Indian Premier League,,RK Singh,1359535
"Narendra Modi Stadium, Ahmedabad",UV Gandhe,34.0,2023-05-15,,Mohamad Rafi,Gujarat Titans,Ahmedabad,6,,62.0,M Nayyar,Gujarat Titans,,,male,Sunrisers Hyderabad,,Sunrisers Hyderabad,field,,A Totre,2023,J Madanagopal,Indian Premier League,,Shubman Gill,1359536
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",A Nand Kishore,5.0,2023-05-16,,M Krishnadas,Lucknow Super Giants,Lucknow,6,,63.0,Sanjay Verma,Lucknow Super Giants,,,male,Mumbai Indians,,Mumbai Indians,field,,CB Gaffaney,2023,AK Chaudhary,Indian Premier League,,MP Stoinis,1359537
"Himachal Pradesh Cricket Association Stadium, Dharamsala",MV Saidharshan Kumar,15.0,2023-05-17,,P Joshi,Delhi Capitals,Dharamsala,6,,64.0,P Dharmani,Delhi Capitals,,,male,Punjab Kings,,Punjab Kings,field,,RJ Tucker,2023,KN Ananthapadmanabhan,Indian Premier League,,RR Rossouw,1359538
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",VK Sharma,,2023-05-18,,VM Dhokre,Royal Challengers Bangalore,Hyderabad,6,,65.0,J Srinath,Sunrisers Hyderabad,,,male,Royal Challengers Bangalore,8.0,Royal Challengers Bangalore,field,,HAS Khalid,2023,BNJ Oxenford,Indian Premier League,,V Kohli,1359539
"Himachal Pradesh Cricket Association Stadium, Dharamsala",RJ Tucker,,2023-05-19,,P Joshi,Rajasthan Royals,Dharamsala,6,,66.0,P Dharmani,Punjab Kings,,,male,Rajasthan Royals,4.0,Rajasthan Royals,field,,Navdeep Singh,2023,A Nand Kishore,Indian Premier League,,D Padikkal,1359540
"Arun Jaitley Stadium, Delhi",NA Patwardhan,77.0,2023-05-20,,M Krishnadas,Chennai Super Kings,Delhi,6,,67.0,Sanjay Verma,Chennai Super Kings,,,male,Delhi Capitals,,Chennai Super Kings,bat,,AK Chaudhary,2023,CB Gaffaney,Indian Premier League,,RD Gaikwad,1359541
"Eden Gardens, Kolkata",UV Gandhe,1.0,2023-05-20,,Mohamad Rafi,Lucknow Super Giants,Kolkata,6,,68.0,M Nayyar,Lucknow Super Giants,,,male,Kolkata Knight Riders,,Kolkata Knight Riders,field,,YC Barde,2023,J Madanagopal,Indian Premier League,,N Pooran,1359542
"Wankhede Stadium, Mumbai",RJ Tucker,,2023-05-21,,P Joshi,Mumbai Indians,Mumbai,6,,69.0,P Dharmani,Sunrisers Hyderabad,,,male,Mumbai Indians,8.0,Mumbai Indians,field,,R Pandit,2023,KN Ananthapadmanabhan,Indian Premier League,,C Green,1359543
"M Chinnaswamy Stadium, Bengaluru",VK Sharma,,2023-05-21,,VM Dhokre,Gujarat Titans,Bengaluru,6,,70.0,J Srinath,Royal Challengers Bangalore,,,male,Gujarat Titans,6.0,Gujarat Titans,field,,Tapan Sharma,2023,Nitin Menon,Indian Premier League,,Shubman Gill,1359544
"MA Chidambaram Stadium, Chepauk, Chennai",CB Gaffaney,15.0,2023-05-23,,VK Sharma,Chennai Super Kings,Chennai,6,,,M Nayyar,Chennai Super Kings,,,male,Gujarat Titans,,Gujarat Titans,field,,BNJ Oxenford,2023,AK Chaudhary,Indian Premier League,,RD Gaikwad,1370350
"MA Chidambaram Stadium, Chepauk, Chennai",VK Sharma,81.0,2023-05-24,,AK Chaudhary,Mumbai Indians,Chennai,6,,,V Narayan Kutty,Mumbai Indians,,,male,Lucknow Super Giants,,Mumbai Indians,bat,,CB Gaffaney,2023,BNJ Oxenford,Indian Premier League,,Akash Madhwal,1370351
"Narendra Modi Stadium, Ahmedabad",RJ Tucker,62.0,2023-05-26,,KN Ananthapadmanabhan,Gujarat Titans,Ahmedabad,6,,,J Srinath,Gujarat Titans,,,male,Mumbai Indians,,Mumbai Indians,field,,J Madanagopal,2023,Nitin Menon,Indian Premier League,,Shubman Gill,1370352
"Narendra Modi Stadium, Ahmedabad",RJ Tucker,,2023-05-29,,J Madanagopal,Chennai Super Kings,Ahmedabad,6,,,J Srinath,Gujarat Titans,,,male,Chennai Super Kings,5.0,Chennai Super Kings,field,,KN Ananthapadmanabhan,2023,Nitin Menon,Indian Premier League,,DP Conway,1370353
